"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"Industrials","MMM","ARNC","EMR","EXPD","GE","JBHT","RTN","RHI","ROK","UTX"
"Health Care","A","ALXN","BSX","BMY","EW","ESRX","HOLX","IDXX","PRGO","DGX"
"Information Technology","ADS","AAPL","CTSH","GLW","MCHP","NTAP","GOOG","TXN","TSS","VRSN"
"Consumer Discretionary","MGM","F","LEG","NKE","RL","SWK","TSCO","FOXA","FOX","VFC"
"Utilities","LNT","AEE","DUK","ETR","EXC","FE","PNW","PEG","SRE","WEC"
"Financials","ALL","AON","MET","CINF","MS","GS","PNC","STT","TMK","USB"
"Materials","ALB","EMN","FMC","FCX","MON","NEM","NUE","PX","MOS","VMC"
"Consumer Staples","ADM","CL","COST","KR","MDLZ","PG","SYY","TSN","WMT","WBA"
"Real Estate","FRT","HST","GGP","IRM","MAA","PSA","REG","SPG","SLG","VNO"
"Energy","CHK","CVX","FTI","HAL","NOV","NFX","NBL","OKE","PXD","SWN"
